CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3626025,"11 Chestnut Cres, Bridgemount, Carrigaline, Co. Cork, P43 TY28, Ireland",featured,2022-01-28,290000,3,3,End of Terrace,96.0,Buy,0,3230.0,Roy Dennehy,Dennehy Auctioneers,BRANDED_AGENT,16.0,False,False,False,C2,-8.3825,51.82294,-8.3825049,51.8229384
3675175,"58 The Glen, Bracklone, Portarlington, Co. Laois, Ireland",featured,2022-01-28,225000,3,2,Semi-D,93.0,Buy,0,2753.0,Marie Kiernan,Tom McDonald & Associates,BRANDED_AGENT,33.0,False,False,False,C1,-7.177098,53.157465,-7.1806399,53.1569854
3673450,"16 Dodderbrook Ave., Oldcourt, Dublin, D24 E2YT, Ireland",featured,2022-01-27,575000,4,3,Semi-D,162.0,Buy,0,10950.0,Moovingo,Moovingo,BRANDED_AGENT,38.0,False,True,False,A3,-6.342763,53.269493,-6.3423528,53.2693334
3649708,"31 Lissanálta Dr, Sluggary, Dooradoyle, Co. Limerick, V94 PDD8, Ireland",featured,2022-01-28,299000,3,3,Semi-D,,Buy,0,1374.0,DNG Cusack Dunne,DNG Cusack Dunne,BRANDED_AGENT,22.0,False,False,False,C2,-8.640716,52.629588,-8.6406935,52.6295934
3643947,"5 St Columbas Terrace, Kilballivor, Ballivor, Co. Meath, C15 N271, Ireland",featured,2022-01-28,120000,3,1,Terrace,68.0,Buy,0,1076.0,REA T&J Gavigan,REA T & J Gavigan,BRANDED_AGENT,5.0,False,False,False,G,-6.8797965660927,53.728600531324,-6.9649626,53.5310634
3598816,"75 The Lawn, Coolroe Meadows, Ballincollig, Co. Cork, P31 HY66, Ireland",featured,2022-01-30,400000,4,3,Semi-D,113.0,Buy,0,2559.0,Norma Healy,Sherry FitzGerald Cork,BRANDED_AGENT,20.0,True,False,False,C1,-8.614786,51.883612,-8.6147896,51.8836112
3563074,"Hyde Park House, Middle Glanmire Rd, Montenotte, Cork, Ireland",featured,2022-01-30,1950000,6,6,Detached,613.0,Buy,0,2559.0,Sheila O'Flynn,Sherry FitzGerald Cork,BRANDED_AGENT,37.0,True,False,False,D2,-8.444135,51.905794,-8.4441391,51.9057931
3642653,"Douglas Wells, Well Rd, Mahon, Cork, Ireland",featured,2022-01-30,490000,2,2,Apartment,104.0,Buy,0,2559.0,Stuart O'Grady,Sherry FitzGerald Cork,BRANDED_AGENT,16.0,False,False,False,B3,-8.436105,51.879916,-8.4367565,51.8799394
3673958,"40 Glenard Cres, Salthill, Co. Galway, H91 V3AC, Ireland",featured,2022-01-30,680000,5,3,Semi-D,169.0,Buy,0,911.0,Tony Kavanagh,Sherry FitzGerald Galway,BRANDED_AGENT,21.0,False,False,False,C2,-9.082283,53.266491,-9.0822817,53.2664921
3486462,"Ballaghkeeran Little, Ballykeeran, Co. Westmeath, Ireland",featured,2022-01-30,695000,7,6,Detached,400.0,Buy,0,2198.0,Helena Kenny,Sherry FitzGerald O'Meara,BRANDED_AGENT,24.0,True,False,False,C2,-7.899131,53.446741,-7.887011900000001,53.4494471
