Year,Station Code,Region,Garda Station,Value
2019,63101,Balbriggan, D.M.R. Northern Division,198
2019,63101,Balbriggan, D.M.R. Northern Division,38
2019,63101,Balbriggan, D.M.R. Northern Division,3
2019,63101,Balbriggan, D.M.R. Northern Division,12
2019,63101,Balbriggan, D.M.R. Northern Division,84
2019,63101,Balbriggan, D.M.R. Northern Division,410
2019,63101,Balbriggan, D.M.R. Northern Division,101
2019,63101,Balbriggan, D.M.R. Northern Division,135
2019,63101,Balbriggan, D.M.R. Northern Division,25
2019,63101,Balbriggan, D.M.R. Northern Division,205
2019,63101,Balbriggan, D.M.R. Northern Division,152
2019,63101,Balbriggan, D.M.R. Northern Division,117
2019,66201,Ballyfermot, D.M.R. Western Division,156
2019,66201,Ballyfermot, D.M.R. Western Division,45
2019,66201,Ballyfermot, D.M.R. Western Division,2
2019,66201,Ballyfermot, D.M.R. Western Division,28
2019,66201,Ballyfermot, D.M.R. Western Division,122
2019,66201,Ballyfermot, D.M.R. Western Division,489
2019,66201,Ballyfermot, D.M.R. Western Division,50
2019,66201,Ballyfermot, D.M.R. Western Division,371
2019,66201,Ballyfermot, D.M.R. Western Division,33
2019,66201,Ballyfermot, D.M.R. Western Division,250
2019,66201,Ballyfermot, D.M.R. Western Division,130
2019,66201,Ballyfermot, D.M.R. Western Division,31
2019,63201,Ballymun, D.M.R. Northern Division,202
2019,63201,Ballymun, D.M.R. Northern Division,38
2019,63201,Ballymun, D.M.R. Northern Division,1
2019,63201,Ballymun, D.M.R. Northern Division,34
2019,63201,Ballymun, D.M.R. Northern Division,96
2019,63201,Ballymun, D.M.R. Northern Division,679
2019,63201,Ballymun, D.M.R. Northern Division,37
2019,63201,Ballymun, D.M.R. Northern Division,417
2019,63201,Ballymun, D.M.R. Northern Division,66
2019,63201,Ballymun, D.M.R. Northern Division,267
2019,63201,Ballymun, D.M.R. Northern Division,184
2019,63201,Ballymun, D.M.R. Northern Division,68
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",89
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",39
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",1
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",14
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",209
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",548
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",73
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",96
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",18
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",91
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",133
2019,65101,Blackrock," Co Dublin,  D.M.R. Eastern Division",9
2019,66101,Blanchardstown, D.M.R. Western Division,478
2019,66101,Blanchardstown, D.M.R. Western Division,205
2019,66101,Blanchardstown, D.M.R. Western Division,2
2019,66101,Blanchardstown, D.M.R. Western Division,81
2019,66101,Blanchardstown, D.M.R. Western Division,512
2019,66101,Blanchardstown, D.M.R. Western Division,2004
2019,66101,Blanchardstown, D.M.R. Western Division,281
2019,66101,Blanchardstown, D.M.R. Western Division,366
2019,66101,Blanchardstown, D.M.R. Western Division,84
2019,66101,Blanchardstown, D.M.R. Western Division,530
2019,66101,Blanchardstown, D.M.R. Western Division,400
2019,66101,Blanchardstown, D.M.R. Western Division,1465
2019,62101,BridewellDublin, D.M.R. North Central Division,212
2019,62101,BridewellDublin, D.M.R. North Central Division,63
2019,62101,BridewellDublin, D.M.R. North Central Division,0
2019,62101,BridewellDublin, D.M.R. North Central Division,51
